scenario,algorithm,configuration,average_waiting_time,average_turnaround_time,average_response_time,context_switches,preemption_count,fairness_index,completed_count
interactive,roundRobin,quantum-2,0.67,2.33,0.67,3,0,0.9259,3
interactive,lcfs,preemptive,1.00,2.67,0.00,4,1,0.9259,3
interactive,strictPriority,fifo,1.00,2.67,1.00,3,0,0.9259,3
interactive,mlfq,classic-3-levels,0.67,2.33,0.67,3,0,0.9259,3
batch,roundRobin,quantum-2,8.00,13.33,1.67,9,6,0.8707,3
batch,lcfs,preemptive,5.00,10.33,1.33,4,1,0.8707,3
batch,strictPriority,fifo,5.67,11.00,5.67,3,0,0.8707,3
batch,mlfq,classic-3-levels,8.67,14.00,1.67,7,4,0.8707,3
priority,roundRobin,quantum-2,3.33,7.00,1.00,6,3,0.8231,3
priority,lcfs,preemptive,4.00,7.67,0.00,5,2,0.8231,3
priority,strictPriority,fifo,2.00,5.67,0.33,4,1,0.8231,3
priority,mlfq,classic-3-levels,3.67,7.33,1.00,5,2,0.8231,3
interactive,roundRobin,quantum-1,0.67,2.33,0.33,4,1,0.9259,3
interactive,roundRobin,quantum-2,0.67,2.33,0.67,3,0,0.9259,3
interactive,mlfq,classic-2-levels,0.67,2.33,0.67,3,0,0.9259,3
interactive,mlfq,classic-3-levels,0.67,2.33,0.67,3,0,0.9259,3
batch,roundRobin,quantum-1,7.00,12.33,0.67,14,11,0.8707,3
batch,roundRobin,quantum-2,8.00,13.33,1.67,9,6,0.8707,3
batch,mlfq,classic-2-levels,8.67,14.00,1.67,7,4,0.8707,3
batch,mlfq,classic-3-levels,8.67,14.00,1.67,7,4,0.8707,3
priority,roundRobin,quantum-1,3.67,7.33,0.33,10,7,0.8231,3
priority,roundRobin,quantum-2,3.33,7.00,1.00,6,3,0.8231,3
priority,mlfq,classic-2-levels,3.67,7.33,1.00,5,2,0.8231,3
priority,mlfq,classic-3-levels,3.67,7.33,1.00,5,2,0.8231,3
